"Phono.orig","Phono","n_phon","P01","P02","P03","P04","P05","P06","P07","P08","P09","Pfreq01","Pfreq02","Pfreq03","Pfreq04","Pfreq05","Pfreq06","Pfreq07","Pfreq08","Pfreq09","Pfreq_sum","Pfreq_mean","B0102","B0203","B0304","B0405","B0506","B0607","B0708","B0809","Bfreq0102","Bfreq0203","Bfreq0304","Bfreq0405","Bfreq0506","Bfreq0607","Bfreq0708","Bfreq0809","Bfreq_sum","Bfreq_mean","CondTP01","CondTP02","CondTP03","CondTP04","CondTP05","CondTP06","CondTP07","CondTP08","CondTP09","N_sum","N_prop","N_loc_mean","N_loc_sd","N_loc_mean_norm","N_loc_sd_norm","neighbors"
"dat","dat",3,"d","a","t",NA,NA,NA,NA,NA,NA,0.0754716981132075,0.232227488151659,0.121827411167513,NA,NA,NA,NA,NA,NA,0.429526597432379,0.14317553247746,"da","at",NA,NA,NA,NA,NA,NA,0.018957345971564,0.0304568527918782,NA,NA,NA,NA,NA,NA,0.0494141987634422,0.0247070993817211,0.0754716981132075,0.25,0.25,NA,NA,NA,NA,NA,NA,7,0.0330188679245283,1.58333333333333,0.917423929634859,0.527777777777778,0.305807976544953,"dal dart dat gat Sat lat pat"
"did","did",3,"d","i","d",NA,NA,NA,NA,NA,NA,0.0754716981132075,0.151658767772512,0.0355329949238579,NA,NA,NA,NA,NA,NA,0.262663460809577,0.0875544869365258,"di","id",NA,NA,NA,NA,NA,NA,0.014218009478673,0.0203045685279188,NA,NA,NA,NA,NA,NA,0.0345225780065918,0.0172612890032959,0.0754716981132075,0.1875,0.333333333333333,NA,NA,NA,NA,NA,NA,6,0.0283018867924528,1.8,1.09544511501033,0.6,0.365148371670111,"did dil dip lid rid sid"
"dil","dil",3,"d","i","l",NA,NA,NA,NA,NA,NA,0.0754716981132075,0.151658767772512,0.0862944162436548,NA,NA,NA,NA,NA,NA,0.313424882129374,0.104474960709791,"di","il",NA,NA,NA,NA,NA,NA,0.014218009478673,0.0253807106598985,NA,NA,NA,NA,NA,NA,0.0395987201385715,0.0197993600692857,0.0754716981132075,0.1875,0.333333333333333,NA,NA,NA,NA,NA,NA,7,0.0330188679245283,2,0.894427190999916,0.666666666666667,0.298142396999972,"dal did dil dip d_l ril sil"
"dip","dip",3,"d","i","p",NA,NA,NA,NA,NA,NA,0.0754716981132075,0.151658767772512,0.0761421319796954,NA,NA,NA,NA,NA,NA,0.303272597865415,0.101090865955138,"di","ip",NA,NA,NA,NA,NA,NA,0.014218009478673,0.0253807106598985,NA,NA,NA,NA,NA,NA,0.0395987201385715,0.0197993600692857,0.0754716981132075,0.1875,0.333333333333333,NA,NA,NA,NA,NA,NA,6,0.0283018867924528,1.8,1.09544511501033,0.6,0.365148371670111,"did dil dip Sip kip lip"
"drap","drap",4,"d","r","a","p",NA,NA,NA,NA,NA,0.0754716981132075,0.180094786729858,0.111675126903553,0.0983606557377049,NA,NA,NA,NA,NA,0.465602267484324,0.116400566871081,"dr","ra","ap",NA,NA,NA,NA,NA,0.014218009478673,0.0406091370558376,0.0327868852459016,NA,NA,NA,NA,NA,0.0876140317804122,0.0292046772601374,0.0754716981132075,0.1875,0.333333333333333,1,NA,NA,NA,NA,NA,2,0.00943396226415094,1,NA,0.25,NA,"drap krap"
"dru","dru",3,"d","r","u",NA,NA,NA,NA,NA,NA,0.0754716981132075,0.180094786729858,0.0761421319796954,NA,NA,NA,NA,NA,NA,0.331708616822761,0.11056953894092,"dr","ru",NA,NA,NA,NA,NA,NA,0.014218009478673,0.050761421319797,NA,NA,NA,NA,NA,NA,0.0649794307984699,0.032489715399235,0.0754716981132075,0.1875,0.333333333333333,NA,NA,NA,NA,NA,NA,5,0.0235849056603774,1.25,0.5,0.416666666666667,0.166666666666667,"dru du gru kru tru"
"dr^g","dr_g",4,"d","r","_","g",NA,NA,NA,NA,NA,0.0754716981132075,0.180094786729858,0.0812182741116751,0.0491803278688525,NA,NA,NA,NA,NA,0.385965086823593,0.0964912717058982,"dr","r_","_g",NA,NA,NA,NA,NA,0.014218009478673,0.0406091370558376,0.0327868852459016,NA,NA,NA,NA,NA,0.0876140317804122,0.0292046772601374,0.0754716981132075,0.1875,0.333333333333333,1,NA,NA,NA,NA,NA,2,0.00943396226415094,1,NA,0.25,NA,"dr_g Sr_g"
"du","du",2,"d","u",NA,NA,NA,NA,NA,NA,NA,0.0754716981132075,0.0853080568720379,NA,NA,NA,NA,NA,NA,NA,0.160779754985245,0.0803898774926227,"du",NA,NA,NA,NA,NA,NA,NA,0.00947867298578199,NA,NA,NA,NA,NA,NA,NA,0.00947867298578199,0.00947867298578199,0.0754716981132075,0.125,NA,NA,NA,NA,NA,NA,NA,4,0.0188679245283019,1.16666666666667,0.288675134594813,0.583333333333333,0.144337567297406,"dru du su tu"
"duti","duti",4,"d","u","t","i",NA,NA,NA,NA,NA,0.0754716981132075,0.0853080568720379,0.121827411167513,0.131147540983607,NA,NA,NA,NA,NA,0.413754707136365,0.103438676784091,"du","ut","ti",NA,NA,NA,NA,NA,0.00947867298578199,0.0304568527918782,0.00819672131147541,NA,NA,NA,NA,NA,0.0481322470891356,0.0160440823630452,0.0754716981132075,0.125,0.5,1,NA,NA,NA,NA,NA,1,0.00471698113207547,NA,NA,NA,NA,"duti"
"d^b^l","d_b_l",5,"d","_","b","_","l",NA,NA,NA,NA,0.0754716981132075,0.123222748815166,0.0456852791878173,0.180327868852459,0.175438596491228,NA,NA,NA,NA,0.600146191459878,0.120029238291976,"d_","_b","b_","_l",NA,NA,NA,NA,0.018957345971564,0.0203045685279188,0.0163934426229508,0.157894736842105,NA,NA,NA,NA,0.213550093964539,0.0533875234911347,0.0754716981132075,0.25,0.25,1,1,NA,NA,NA,NA,2,0.00943396226415094,1,NA,0.2,NA,"b_b_l d_b_l"
